iter	Passed	Remaining
0	2	243
1	3	182
2	4	160
3	6	144
4	7	137
5	8	132
6	9	128
7	10	124
8	11	120
9	12	116
10	14	113
11	15	113
12	16	111
13	17	108
14	18	106
15	19	103
16	20	101
17	21	99
18	22	97
19	23	95
20	24	93
21	26	92
22	27	90
23	28	88
24	29	87
25	31	88
26	32	88
27	33	86
28	34	84
29	35	83
30	36	81
31	37	80
32	38	78
33	39	77
34	40	76
35	42	74
36	43	73
37	44	72
38	45	71
39	46	70
40	47	68
41	48	66
42	49	65
43	50	63
44	51	62
45	52	61
46	54	61
47	55	60
48	56	59
49	58	58
50	59	57
51	61	56
52	62	55
53	63	53
54	64	52
55	65	51
56	66	49
57	67	48
58	68	47
59	69	46
60	70	44
61	71	43
62	72	42
63	73	41
64	74	40
65	76	39
66	77	37
67	78	36
68	79	35
69	80	34
70	81	33
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	112	1
99	113	0
